feature,threshold,operator,pass_count,fail_count,winner_ratio_pass_pct,loser_ratio_pass_pct,winner_ratio_fail_pct,loser_ratio_fail_pct,precision,recall,f1,lift,odds_ratio,avg_return_2h_pass,avg_return_2h_fail,avg_return_4h_pass,avg_return_4h_fail,win_rate_pass_pct,expected_return_lift_2h,direction
15m_current_body_pct,12.098196,gte,7,890,71.43,28.57,19.55,80.45,0.7143,0.0279,0.0538,3.5794,10.2874,15.8531,5.0085,9.3893,5.3666,71.43,10.8446,long
15m_current_body_pct,12.73438,gte,7,890,71.43,28.57,19.55,80.45,0.7143,0.0279,0.0538,3.5794,10.2874,15.8531,5.0085,9.3893,5.3666,71.43,10.8446,long
15m_current_body_pct,13.370564,gte,7,890,71.43,28.57,19.55,80.45,0.7143,0.0279,0.0538,3.5794,10.2874,15.8531,5.0085,9.3893,5.3666,71.43,10.8446,long
15m_current_body_pct,14.006748,gte,6,891,83.33,16.67,19.53,80.47,0.8333,0.0279,0.0541,4.176,20.6034,20.1833,4.9915,13.6562,5.3424,83.33,15.1918,long
15m_current_body_pct,14.642932,gte,5,892,80.0,20.0,19.62,80.38,0.8,0.0223,0.0435,4.0089,16.3886,14.6998,5.0393,8.3911,5.3812,80.0,9.6605,long
15m_current_body_pct,15.279116,gte,4,893,75.0,25.0,19.71,80.29,0.75,0.0168,0.0328,3.7584,12.2216,12.2197,5.0612,3.9894,5.4043,75.0,7.1585,long
15m_current_body_pct,15.9153,gte,4,893,75.0,25.0,19.71,80.29,0.75,0.0168,0.0328,3.7584,12.2216,12.2197,5.0612,3.9894,5.4043,75.0,7.1585,long
15m_current_body_pct,16.551484,gte,4,893,75.0,25.0,19.71,80.29,0.75,0.0168,0.0328,3.7584,12.2216,12.2197,5.0612,3.9894,5.4043,75.0,7.1585,long
15m_current_body_pct,17.187668,gte,4,893,75.0,25.0,19.71,80.29,0.75,0.0168,0.0328,3.7584,12.2216,12.2197,5.0612,3.9894,5.4043,75.0,7.1585,long
15m_current_body_pct,17.823852,gte,4,893,75.0,25.0,19.71,80.29,0.75,0.0168,0.0328,3.7584,12.2216,12.2197,5.0612,3.9894,5.4043,75.0,7.1585,long
15m_current_body_pct,18.460036,gte,4,893,75.0,25.0,19.71,80.29,0.75,0.0168,0.0328,3.7584,12.2216,12.2197,5.0612,3.9894,5.4043,75.0,7.1585,long
15m_current_body_pct,19.09622,gte,3,894,66.67,33.33,19.8,80.2,0.6667,0.0112,0.022,3.3408,8.1017,7.7125,5.0843,-0.4217,5.4175,66.67,2.6281,long
15m_current_body_pct,19.732404,gte,3,894,66.67,33.33,19.8,80.2,0.6667,0.0112,0.022,3.3408,8.1017,7.7125,5.0843,-0.4217,5.4175,66.67,2.6281,long
15m_current_body_pct,20.368588,gte,3,894,66.67,33.33,19.8,80.2,0.6667,0.0112,0.022,3.3408,8.1017,7.7125,5.0843,-0.4217,5.4175,66.67,2.6281,long
15m_current_body_pct,21.004772,gte,3,894,66.67,33.33,19.8,80.2,0.6667,0.0112,0.022,3.3408,8.1017,7.7125,5.0843,-0.4217,5.4175,66.67,2.6281,long
15m_current_body_pct,21.640956,gte,3,894,66.67,33.33,19.8,80.2,0.6667,0.0112,0.022,3.3408,8.1017,7.7125,5.0843,-0.4217,5.4175,66.67,2.6281,long
15m_current_body_pct,22.27714,gte,3,894,66.67,33.33,19.8,80.2,0.6667,0.0112,0.022,3.3408,8.1017,7.7125,5.0843,-0.4217,5.4175,66.67,2.6281,long
15m_current_body_pct,22.913324,gte,2,895,100.0,0.0,19.78,80.22,1.0,0.0112,0.0221,5.0112,8.113,17.2383,5.066,11.205,5.385,100.0,12.1723,long
15m_current_body_pct,23.549508,gte,1,896,100.0,0.0,19.87,80.13,1.0,0.0056,0.0111,5.0112,4.0337,23.5902,5.0725,17.6968,5.3843,100.0,18.5177,long
15m_current_body_pct,24.185692,gte,1,896,100.0,0.0,19.87,80.13,1.0,0.0056,0.0111,5.0112,4.0337,23.5902,5.0725,17.6968,5.3843,100.0,18.5177,long
15m_current_body_pct,24.821876,gte,1,896,100.0,0.0,19.87,80.13,1.0,0.0056,0.0111,5.0112,4.0337,23.5902,5.0725,17.6968,5.3843,100.0,18.5177,long
15m_current_body_pct,25.45806,gte,1,896,100.0,0.0,19.87,80.13,1.0,0.0056,0.0111,5.0112,4.0337,23.5902,5.0725,17.6968,5.3843,100.0,18.5177,long
15m_current_body_pct,26.094244,gte,1,896,100.0,0.0,19.87,80.13,1.0,0.0056,0.0111,5.0112,4.0337,23.5902,5.0725,17.6968,5.3843,100.0,18.5177,long
15m_current_body_pct,26.730428,gte,1,896,100.0,0.0,19.87,80.13,1.0,0.0056,0.0111,5.0112,4.0337,23.5902,5.0725,17.6968,5.3843,100.0,18.5177,long
15m_current_body_pct,27.366612,gte,1,896,100.0,0.0,19.87,80.13,1.0,0.0056,0.0111,5.0112,4.0337,23.5902,5.0725,17.6968,5.3843,100.0,18.5177,long
15m_current_body_pct,28.002796,gte,1,896,100.0,0.0,19.87,80.13,1.0,0.0056,0.0111,5.0112,4.0337,23.5902,5.0725,17.6968,5.3843,100.0,18.5177,long
15m_current_body_pct,28.63898,gte,1,896,100.0,0.0,19.87,80.13,1.0,0.0056,0.0111,5.0112,4.0337,23.5902,5.0725,17.6968,5.3843,100.0,18.5177,long
15m_current_body_pct,29.275164,gte,1,896,100.0,0.0,19.87,80.13,1.0,0.0056,0.0111,5.0112,4.0337,23.5902,5.0725,17.6968,5.3843,100.0,18.5177,long
15m_current_body_pct,29.911348,gte,1,896,100.0,0.0,19.87,80.13,1.0,0.0056,0.0111,5.0112,4.0337,23.5902,5.0725,17.6968,5.3843,100.0,18.5177,long
15m_current_body_pct,30.547532,gte,1,896,100.0,0.0,19.87,80.13,1.0,0.0056,0.0111,5.0112,4.0337,23.5902,5.0725,17.6968,5.3843,100.0,18.5177,long
15m_current_body_pct,31.183716,gte,1,896,100.0,0.0,19.87,80.13,1.0,0.0056,0.0111,5.0112,4.0337,23.5902,5.0725,17.6968,5.3843,100.0,18.5177,long
15m_current_body_pct,31.8199,gte,1,896,100.0,0.0,19.87,80.13,1.0,0.0056,0.0111,5.0112,4.0337,23.5902,5.0725,17.6968,5.3843,100.0,18.5177,long
15m_current_body_pct,0.0107,lte,1,896,0.0,0.0,19.98,80.02,0.0,0.0,0.0,0.0,0.0401,7.6189,5.0903,10.8123,5.392,100.0,2.5286,long
15m_current_body_pct,0.646884,lte,146,751,14.38,22.6,21.04,78.96,0.1438,0.1173,0.1292,0.7208,2.3884,4.1553,5.2755,3.7202,5.7242,50.68,-1.1202,long
15m_current_body_pct,1.283068,lte,368,529,15.76,25.0,22.87,77.13,0.1576,0.324,0.2121,0.7898,2.1258,3.8809,5.9364,4.1324,6.2784,49.46,-2.0556,long
15m_current_body_pct,1.919252,lte,555,342,14.77,23.24,28.36,71.64,0.1477,0.4581,0.2234,0.7404,1.6055,3.8075,7.1795,3.9995,7.6676,48.83,-3.3721,long
15m_current_body_pct,2.555436,lte,678,219,15.63,22.57,33.33,66.67,0.1563,0.5922,0.2474,0.7835,1.3856,4.1739,7.9391,4.6022,7.8618,51.18,-3.7653,long
15m_current_body_pct,3.19162,lte,743,154,15.75,21.67,40.26,59.74,0.1575,0.6536,0.2538,0.7891,1.0783,4.3077,8.8825,4.7115,8.7101,52.22,-4.5747,long
15m_current_body_pct,3.827804,lte,777,120,16.09,21.49,45.0,55.0,0.1609,0.6983,0.2615,0.8062,0.9148,4.4237,9.4279,4.8203,9.139,52.51,-5.0042,long
15m_current_body_pct,4.463988,lte,811,86,16.77,20.96,50.0,50.0,0.1677,0.7598,0.2747,0.8403,0.8,4.5367,10.3404,4.917,9.9342,53.76,-5.8037,long
15m_current_body_pct,5.100172,lte,838,59,17.3,20.53,57.63,42.37,0.173,0.8101,0.2852,0.8671,0.6199,4.6719,11.076,4.9722,11.4455,54.3,-6.4041,long
15m_current_body_pct,5.736356,lte,849,48,17.43,20.49,64.58,35.42,0.1743,0.8268,0.2879,0.8736,0.4664,4.688,12.2598,4.9804,12.7847,54.65,-7.5719,long
15m_current_body_pct,6.37254,lte,859,38,17.81,20.37,68.42,31.58,0.1781,0.8547,0.2948,0.8926,0.4035,4.7379,13.1241,5.0913,12.3315,54.95,-8.3863,long
15m_current_body_pct,7.008724,lte,869,28,18.3,20.25,71.43,28.57,0.183,0.8883,0.3034,0.9169,0.3614,4.8272,13.3469,5.1655,12.615,55.35,-8.5197,long
15m_current_body_pct,7.644908,lte,877,20,18.81,20.07,70.0,30.0,0.1881,0.9218,0.3125,0.9428,0.4018,4.922,12.5973,5.2574,11.5653,55.76,-7.6753,long
15m_current_body_pct,8.281092,lte,880,17,19.09,20.0,64.71,35.29,0.1909,0.9385,0.3173,0.9567,0.5207,4.9699,11.471,5.2757,11.7314,55.91,-6.5011,long
15m_current_body_pct,8.917276,lte,882,15,19.16,19.95,66.67,33.33,0.1916,0.9441,0.3186,0.9602,0.4801,4.9812,11.6754,5.2962,11.3834,56.01,-6.6942,long
15m_current_body_pct,9.55346,lte,882,15,19.16,19.95,66.67,33.33,0.1916,0.9441,0.3186,0.9602,0.4801,4.9812,11.6754,5.2962,11.3834,56.01,-6.6942,long
15m_current_body_pct,10.189644,lte,883,14,19.25,19.93,64.29,35.71,0.1925,0.9497,0.3202,0.9648,0.5366,4.9863,11.8297,5.3234,10.1022,56.06,-6.8434,long
15m_current_body_pct,10.825828,lte,889,8,19.57,19.91,62.5,37.5,0.1957,0.9721,0.3258,0.9808,0.5898,5.0085,14.4972,5.3676,8.7822,56.13,-9.4887,long
15m_current_body_pct,11.462012,lte,890,7,19.55,19.89,71.43,28.57,0.1955,0.9721,0.3255,0.9797,0.3932,5.0085,15.8531,5.3666,9.3893,56.18,-10.8446,long
15m_current_body_pct,12.098196,lte,890,7,19.55,19.89,71.43,28.57,0.1955,0.9721,0.3255,0.9797,0.3932,5.0085,15.8531,5.3666,9.3893,56.18,-10.8446,long
15m_current_body_pct,12.73438,lte,890,7,19.55,19.89,71.43,28.57,0.1955,0.9721,0.3255,0.9797,0.3932,5.0085,15.8531,5.3666,9.3893,56.18,-10.8446,long
15m_current_body_pct,13.370564,lte,890,7,19.55,19.89,71.43,28.57,0.1955,0.9721,0.3255,0.9797,0.3932,5.0085,15.8531,5.3666,9.3893,56.18,-10.8446,long
15m_current_body_pct,14.006748,lte,891,6,19.53,19.98,83.33,16.67,0.1953,0.9721,0.3252,0.9786,0.1955,4.9915,20.1833,5.3424,13.6562,56.12,-15.1918,long
15m_current_body_pct,14.642932,lte,892,5,19.62,19.96,80.0,20.0,0.1962,0.9777,0.3268,0.9831,0.2458,5.0393,14.6998,5.3812,8.3911,56.17,-9.6605,long
15m_current_body_pct,15.279116,lte,893,4,19.71,19.93,75.0,25.0,0.1971,0.9832,0.3284,0.9876,0.3296,5.0612,12.2197,5.4043,3.9894,56.22,-7.1585,long
15m_current_body_pct,15.9153,lte,893,4,19.71,19.93,75.0,25.0,0.1971,0.9832,0.3284,0.9876,0.3296,5.0612,12.2197,5.4043,3.9894,56.22,-7.1585,long
15m_current_body_pct,16.551484,lte,893,4,19.71,19.93,75.0,25.0,0.1971,0.9832,0.3284,0.9876,0.3296,5.0612,12.2197,5.4043,3.9894,56.22,-7.1585,long
15m_current_body_pct,17.187668,lte,893,4,19.71,19.93,75.0,25.0,0.1971,0.9832,0.3284,0.9876,0.3296,5.0612,12.2197,5.4043,3.9894,56.22,-7.1585,long
15m_current_body_pct,17.823852,lte,893,4,19.71,19.93,75.0,25.0,0.1971,0.9832,0.3284,0.9876,0.3296,5.0612,12.2197,5.4043,3.9894,56.22,-7.1585,long
15m_current_body_pct,18.460036,lte,893,4,19.71,19.93,75.0,25.0,0.1971,0.9832,0.3284,0.9876,0.3296,5.0612,12.2197,5.4043,3.9894,56.22,-7.1585,long
15m_current_body_pct,19.09622,lte,894,3,19.8,19.91,66.67,33.33,0.198,0.9888,0.3299,0.9921,0.4972,5.0843,7.7125,5.4175,-0.4217,56.26,-2.6281,long
15m_current_body_pct,19.732404,lte,894,3,19.8,19.91,66.67,33.33,0.198,0.9888,0.3299,0.9921,0.4972,5.0843,7.7125,5.4175,-0.4217,56.26,-2.6281,long
15m_current_body_pct,20.368588,lte,894,3,19.8,19.91,66.67,33.33,0.198,0.9888,0.3299,0.9921,0.4972,5.0843,7.7125,5.4175,-0.4217,56.26,-2.6281,long
15m_current_body_pct,21.004772,lte,894,3,19.8,19.91,66.67,33.33,0.198,0.9888,0.3299,0.9921,0.4972,5.0843,7.7125,5.4175,-0.4217,56.26,-2.6281,long
15m_current_body_pct,21.640956,lte,894,3,19.8,19.91,66.67,33.33,0.198,0.9888,0.3299,0.9921,0.4972,5.0843,7.7125,5.4175,-0.4217,56.26,-2.6281,long
15m_current_body_pct,22.27714,lte,894,3,19.8,19.91,66.67,33.33,0.198,0.9888,0.3299,0.9921,0.4972,5.0843,7.7125,5.4175,-0.4217,56.26,-2.6281,long
15m_current_body_pct,22.913324,lte,895,2,19.78,20.0,100.0,0.0,0.1978,0.9888,0.3296,0.991,0.4944,5.066,17.2383,5.385,11.205,56.2,-12.1723,long
15m_current_body_pct,23.549508,lte,896,1,19.87,19.98,100.0,0.0,0.1987,0.9944,0.3312,0.9955,0.9944,5.0725,23.5902,5.3843,17.6968,56.25,-18.5177,long
15m_current_body_pct,24.185692,lte,896,1,19.87,19.98,100.0,0.0,0.1987,0.9944,0.3312,0.9955,0.9944,5.0725,23.5902,5.3843,17.6968,56.25,-18.5177,long
15m_current_body_pct,24.821876,lte,896,1,19.87,19.98,100.0,0.0,0.1987,0.9944,0.3312,0.9955,0.9944,5.0725,23.5902,5.3843,17.6968,56.25,-18.5177,long
15m_current_body_pct,25.45806,lte,896,1,19.87,19.98,100.0,0.0,0.1987,0.9944,0.3312,0.9955,0.9944,5.0725,23.5902,5.3843,17.6968,56.25,-18.5177,long
15m_current_body_pct,26.094244,lte,896,1,19.87,19.98,100.0,0.0,0.1987,0.9944,0.3312,0.9955,0.9944,5.0725,23.5902,5.3843,17.6968,56.25,-18.5177,long
15m_current_body_pct,26.730428,lte,896,1,19.87,19.98,100.0,0.0,0.1987,0.9944,0.3312,0.9955,0.9944,5.0725,23.5902,5.3843,17.6968,56.25,-18.5177,long
15m_current_body_pct,27.366612,lte,896,1,19.87,19.98,100.0,0.0,0.1987,0.9944,0.3312,0.9955,0.9944,5.0725,23.5902,5.3843,17.6968,56.25,-18.5177,long
15m_current_body_pct,28.002796,lte,896,1,19.87,19.98,100.0,0.0,0.1987,0.9944,0.3312,0.9955,0.9944,5.0725,23.5902,5.3843,17.6968,56.25,-18.5177,long
15m_current_body_pct,28.63898,lte,896,1,19.87,19.98,100.0,0.0,0.1987,0.9944,0.3312,0.9955,0.9944,5.0725,23.5902,5.3843,17.6968,56.25,-18.5177,long
15m_current_body_pct,29.275164,lte,896,1,19.87,19.98,100.0,0.0,0.1987,0.9944,0.3312,0.9955,0.9944,5.0725,23.5902,5.3843,17.6968,56.25,-18.5177,long
15m_current_body_pct,29.911348,lte,896,1,19.87,19.98,100.0,0.0,0.1987,0.9944,0.3312,0.9955,0.9944,5.0725,23.5902,5.3843,17.6968,56.25,-18.5177,long
15m_current_body_pct,30.547532,lte,896,1,19.87,19.98,100.0,0.0,0.1987,0.9944,0.3312,0.9955,0.9944,5.0725,23.5902,5.3843,17.6968,56.25,-18.5177,long
15m_current_body_pct,31.183716,lte,896,1,19.87,19.98,100.0,0.0,0.1987,0.9944,0.3312,0.9955,0.9944,5.0725,23.5902,5.3843,17.6968,56.25,-18.5177,long
15m_current_body_pct,31.8199,lte,897,0,19.96,19.96,0.0,0.0,0.1996,1.0,0.3327,1.0,100.0,5.0931,0.0,5.398,0.0,56.3,5.0931,long
15m_current_close_position,0.0,gte,897,0,19.96,19.96,0.0,0.0,0.1996,1.0,0.3327,1.0,100.0,5.0931,0.0,5.398,0.0,56.3,5.0931,long
15m_current_close_position,0.02,gte,895,2,20.0,19.89,0.0,100.0,0.2,1.0,0.3333,1.0022,0.0,5.1012,1.5048,5.4093,0.3348,56.31,3.5963,long
15m_current_close_position,0.04,gte,894,3,20.02,19.91,0.0,100.0,0.2002,1.0,0.3336,1.0034,0.0,5.1036,1.9774,5.4114,1.4241,56.38,3.1262,long
15m_current_close_position,0.06,gte,886,11,19.86,19.98,27.27,72.73,0.1986,0.9832,0.3305,0.9954,2.6516,5.0845,5.7863,5.3986,5.355,56.43,-0.7018,long
15m_current_close_position,0.08,gte,884,13,19.91,20.02,23.08,76.92,0.1991,0.9832,0.3311,0.9977,3.3145,5.0871,5.5022,5.4032,5.0434,56.33,-0.4151,long
15m_current_close_position,0.1,gte,881,16,19.98,20.09,18.75,81.25,0.1998,0.9832,0.3321,1.0011,4.3089,5.0881,5.3696,5.4071,4.9005,56.19,-0.2814,long
15m_current_close_position,0.12,gte,879,18,20.02,20.14,16.67,83.33,0.2002,0.9832,0.3327,1.0034,4.9718,5.0953,4.9872,5.4217,4.2408,56.31,0.1081,long
15m_current_close_position,0.14,gte,874,23,19.79,20.25,26.09,73.91,0.1979,0.9665,0.3286,0.9919,2.7693,5.0302,7.4853,5.414,4.7919,56.18,-2.4551,long
15m_current_close_position,0.16,gte,865,32,19.54,20.46,31.25,68.75,0.1954,0.9441,0.3238,0.9791,2.1006,4.9824,8.0869,5.3613,6.3907,55.95,-3.1045,long
15m_current_close_position,0.18,gte,860,37,19.42,20.47,32.43,67.57,0.1942,0.933,0.3215,0.9731,1.9768,4.9773,7.7855,5.3471,6.5824,55.93,-2.8082,long
15m_current_close_position,0.2,gte,856,41,19.28,20.44,34.15,65.85,0.1928,0.9218,0.3188,0.9659,1.8184,4.975,7.56,5.3599,6.1947,55.96,-2.585,long
15m_current_close_position,0.22,gte,853,44,19.11,20.4,36.36,63.64,0.1911,0.9106,0.3159,0.9576,1.6394,4.9587,7.6994,5.3439,6.4474,55.92,-2.7407,long
15m_current_close_position,0.24,gte,847,50,19.01,20.31,36.0,64.0,0.1901,0.8994,0.3138,0.9525,1.6641,4.9561,7.4145,5.287,7.2791,55.96,-2.4584,long
15m_current_close_position,0.26,gte,844,53,19.08,20.38,33.96,66.04,0.1908,0.8994,0.3148,0.9559,1.8201,4.9534,7.3187,5.2928,7.0742,55.81,-2.3653,long
15m_current_close_position,0.28,gte,835,62,19.16,20.0,30.65,69.35,0.1916,0.8939,0.3156,0.9602,2.1683,4.9889,6.4971,5.3258,6.3702,56.05,-1.5082,long
15m_current_close_position,0.3,gte,827,70,18.98,19.71,31.43,68.57,0.1898,0.8771,0.3121,0.9513,2.1015,4.985,6.3712,5.2877,6.7011,56.11,-1.3863,long
15m_current_close_position,0.32,gte,820,77,19.02,19.63,29.87,70.13,0.1902,0.8715,0.3123,0.9533,2.2749,5.0022,6.0612,5.3091,6.3445,56.34,-1.0589,long
15m_current_close_position,0.34,gte,812,85,19.09,19.46,28.24,71.76,0.1909,0.8659,0.3128,0.9566,2.4934,5.0302,5.6939,5.3269,6.0773,56.4,-0.6637,long
15m_current_close_position,0.36,gte,799,98,19.15,19.52,26.53,73.47,0.1915,0.8547,0.3129,0.9596,2.716,5.037,5.5511,5.3171,6.058,56.45,-0.5142,long
15m_current_close_position,0.38,gte,792,105,19.32,19.19,24.76,75.24,0.1932,0.8547,0.3151,0.9681,3.0585,5.0783,5.2048,5.373,5.5868,56.82,-0.1265,long
15m_current_close_position,0.4,gte,786,111,19.34,19.21,24.32,75.68,0.1934,0.8492,0.315,0.9691,3.1317,5.0827,5.1669,5.3945,5.423,56.74,-0.0841,long
15m_current_close_position,0.42,gte,772,125,19.17,19.43,24.8,75.2,0.1917,0.8268,0.3113,0.9607,2.9918,5.0804,5.1719,5.3482,5.7059,56.61,-0.0916,long
15m_current_close_position,0.44,gte,761,136,18.92,19.71,25.74,74.26,0.1892,0.8045,0.3064,0.9482,2.7703,5.0559,5.3016,5.3449,5.6952,56.37,-0.2457,long
15m_current_close_position,0.46,gte,754,143,18.97,19.76,25.17,74.83,0.1897,0.7989,0.3065,0.9504,2.8525,5.1004,5.0548,5.381,5.4878,56.5,0.0456,long
15m_current_close_position,0.48,gte,740,157,19.05,19.73,24.2,75.8,0.1905,0.7877,0.3069,0.9548,3.0243,5.1133,4.9979,5.3546,5.6029,56.35,0.1154,long
15m_current_close_position,0.5,gte,734,163,18.94,19.62,24.54,75.46,0.1894,0.7765,0.3045,0.949,2.9682,5.1161,4.9895,5.3391,5.6635,56.4,0.1266,long
15m_current_close_position,0.52,gte,726,171,18.87,19.42,24.56,75.44,0.1887,0.7654,0.3028,0.9456,2.9843,5.1118,5.0139,5.3982,5.3972,56.47,0.0979,long
15m_current_close_position,0.54,gte,719,178,18.64,19.47,25.28,74.72,0.1864,0.7486,0.2984,0.9339,2.8289,5.0756,5.1641,5.3659,5.5278,56.47,-0.0886,long
15m_current_close_position,0.56,gte,703,194,18.92,19.49,23.71,76.29,0.1892,0.743,0.3016,0.9481,3.1235,5.1064,5.0449,5.4341,5.2673,56.47,0.0615,long
15m_current_close_position,0.58,gte,688,209,18.9,19.33,23.44,76.56,0.189,0.7263,0.2999,0.9469,3.1917,5.1378,4.946,5.4497,5.2279,56.54,0.1919,long
15m_current_close_position,0.6,gte,673,224,18.87,18.87,23.21,76.79,0.1887,0.7095,0.2981,0.9456,3.3077,5.1605,4.8908,5.4646,5.1981,56.61,0.2697,long
15m_current_close_position,0.62,gte,649,248,18.8,19.41,22.98,77.02,0.188,0.6816,0.2947,0.942,3.2445,5.1631,4.9099,5.5094,5.1066,57.16,0.2532,long
15m_current_close_position,0.64,gte,626,271,19.17,19.33,21.77,78.23,0.1917,0.6704,0.2981,0.9606,3.5635,5.2304,4.7762,5.5942,4.9447,57.35,0.4542,long
15m_current_close_position,0.66,gte,604,293,19.21,19.87,21.5,78.5,0.1921,0.648,0.2963,0.9624,3.5291,5.2443,4.7815,5.6555,4.8672,57.78,0.4628,long
15m_current_close_position,0.68,gte,579,318,19.69,19.69,20.44,79.56,0.1969,0.6369,0.3008,0.9867,3.8923,5.2413,4.8233,5.6005,5.0294,57.51,0.4181,long
15m_current_close_position,0.7,gte,547,350,19.93,19.56,20.0,80.0,0.1993,0.6089,0.3003,0.9986,4.0748,5.2141,4.9041,5.5492,5.1618,57.4,0.31,long
15m_current_close_position,0.72,gte,518,379,19.5,19.31,20.58,79.42,0.195,0.5642,0.2898,0.9771,3.8976,5.1624,4.9984,5.4044,5.3892,56.76,0.164,long
15m_current_close_position,0.74,gte,482,415,19.92,19.29,20.0,80.0,0.1992,0.5363,0.2905,0.9981,4.129,5.2139,4.9529,5.539,5.2342,57.47,0.261,long
15m_current_close_position,0.76,gte,452,445,20.35,18.36,19.55,80.45,0.2035,0.514,0.2916,1.02,4.5611,5.3423,4.84,5.5855,5.2076,57.52,0.5023,long
15m_current_close_position,0.78,gte,422,475,19.67,18.72,20.21,79.79,0.1967,0.4637,0.2762,0.9856,4.1478,5.3452,4.8692,5.6166,5.2039,57.58,0.4761,long
15m_current_close_position,0.8,gte,392,505,19.39,18.88,20.4,79.6,0.1939,0.4246,0.2662,0.9716,4.0084,5.3199,4.9171,5.6728,5.1847,57.14,0.4028,long
15m_current_close_position,0.82,gte,353,544,19.83,18.7,20.04,79.96,0.1983,0.3911,0.2632,0.9937,4.2327,5.3872,4.9023,5.724,5.1865,57.22,0.4849,long
15m_current_close_position,0.84,gte,319,578,19.12,19.12,20.42,79.58,0.1912,0.3408,0.245,0.9582,3.8983,5.255,5.0038,5.5877,5.2933,56.43,0.2512,long
15m_current_close_position,0.86,gte,274,623,18.25,19.34,20.71,79.29,0.1825,0.2793,0.2208,0.9144,3.6127,5.1991,5.0466,5.5793,5.3183,55.47,0.1525,long
15m_current_close_position,0.88,gte,233,664,18.45,19.31,20.48,79.52,0.1845,0.2402,0.2087,0.9248,3.7098,5.2001,5.0556,5.6362,5.3145,54.08,0.1445,long
